,model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
59,BMW 340i,3.0,6.0,SemiAuto-8,2WD,Gasoline,small car,3,21,32,25,5,No
60,BMW 340i,3.0,6.0,SemiAuto-8,4WD,Gasoline,small car,3,21,31,25,5,No
61,BMW 340i Gran Turismo,3.0,6.0,SemiAuto-8,4WD,Gasoline,large car,3,20,29,23,5,No
62,BMW 430i Convertible,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,7,24,34,27,6,No
63,BMW 430i Convertible,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,7,22,32,26,5,No
64,BMW 430i Coupe,2.0,4.0,Man-6,2WD,Gasoline,small car,7,21,33,25,5,No
65,BMW 430i Coupe,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,7,24,34,27,6,No
66,BMW 430i Coupe,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,7,23,33,27,6,No
67,BMW 430i Gran Coupe,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,7,24,34,27,6,No
68,BMW 430i Gran Coupe,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,7,23,33,27,6,No
69,BMW 440i Convertible,3.0,6.0,SemiAuto-8,2WD,Gasoline,small car,3,21,29,24,5,No
70,BMW 440i Convertible,3.0,6.0,SemiAuto-8,4WD,Gasoline,small car,3,20,29,23,5,No
71,BMW 440i Coupe,3.0,6.0,Man-6,2WD,Gasoline,small car,3,19,29,23,5,No
72,BMW 440i Coupe,3.0,6.0,Man-6,4WD,Gasoline,small car,3,19,29,23,5,No
73,BMW 440i Coupe,3.0,6.0,SemiAuto-8,2WD,Gasoline,small car,3,21,32,25,5,No
74,BMW 440i Coupe,3.0,6.0,SemiAuto-8,4WD,Gasoline,small car,3,21,31,25,5,No
75,BMW 440i Gran Coupe,3.0,6.0,SemiAuto-8,2WD,Gasoline,small car,3,21,32,25,5,No
76,BMW 440i Gran Coupe,3.0,6.0,SemiAuto-8,4WD,Gasoline,small car,3,21,31,25,5,No
77,BMW 530i,2.0,4.0,SemiAuto-8,2WD,Gasoline,midsize car,7,24,34,27,6,No
78,BMW 530i,2.0,4.0,SemiAuto-8,4WD,Gasoline,midsize car,7,23,33,27,6,No
79,BMW 540i,3.0,6.0,SemiAuto-8,2WD,Gasoline,midsize car,5,21,30,24,5,No
80,BMW 540i,3.0,6.0,SemiAuto-8,4WD,Gasoline,midsize car,5,20,29,23,5,No
81,BMW 640i Convertible,3.0,6.0,SemiAuto-8,2WD,Gasoline,small car,3,20,29,23,5,No
82,BMW 640i Convertible,3.0,6.0,SemiAuto-8,4WD,Gasoline,small car,3,19,28,22,4,No
83,BMW 640i Gran Coupe,3.0,6.0,SemiAuto-8,2WD,Gasoline,small car,3,20,29,23,5,No
84,BMW 640i Gran Coupe,3.0,6.0,SemiAuto-8,4WD,Gasoline,small car,3,19,28,22,4,No
85,BMW 650i Convertible,4.4,8.0,SemiAuto-8,2WD,Gasoline,small car,3,17,25,20,4,No
86,BMW 650i Convertible,4.4,8.0,SemiAuto-8,4WD,Gasoline,small car,3,16,25,19,3,No
87,BMW 650i Gran Coupe,4.4,8.0,SemiAuto-8,2WD,Gasoline,small car,3,17,25,20,4,No
88,BMW 650i Gran Coupe,4.4,8.0,SemiAuto-8,4WD,Gasoline,small car,3,16,25,19,3,No
89,BMW 740i,3.0,6.0,SemiAuto-8,2WD,Gasoline,large car,3,21,29,24,5,No
90,BMW 740i,3.0,6.0,SemiAuto-8,4WD,Gasoline,large car,3,20,29,23,5,No
91,BMW 750i,4.4,8.0,SemiAuto-8,2WD,Gasoline,large car,3,17,25,20,4,No
92,BMW 750i,4.4,8.0,SemiAuto-8,4WD,Gasoline,large car,3,16,25,19,3,No
93,BMW Alpina B6 Gran Coupe,4.4,8.0,SemiAuto-8,4WD,Gasoline,small car,3,16,25,19,3,No
94,BMW Alpina B7,4.4,8.0,SemiAuto-8,4WD,Gasoline,large car,3,16,25,19,3,No
95,BMW M2,3.0,6.0,AMS-7,2WD,Gasoline,small car,3,20,26,22,4,No
96,BMW M2,3.0,6.0,Man-6,2WD,Gasoline,small car,3,18,26,21,4,No
97,BMW M240i Convertible,3.0,6.0,Man-6,2WD,Gasoline,small car,3,18,27,22,4,No
98,BMW M240i Convertible,3.0,6.0,SemiAuto-8,2WD,Gasoline,small car,3,21,30,24,5,No
99,BMW M240i Convertible,3.0,6.0,SemiAuto-8,4WD,Gasoline,small car,3,21,30,24,5,No
100,BMW M240i Coupe,3.0,6.0,Man-6,2WD,Gasoline,small car,3,19,28,22,4,No
101,BMW M240i Coupe,3.0,6.0,SemiAuto-8,2WD,Gasoline,small car,3,21,30,24,5,No
102,BMW M240i Coupe,3.0,6.0,SemiAuto-8,4WD,Gasoline,small car,3,21,30,24,5,No
103,BMW M3,3.0,6.0,AMS-7,2WD,Gasoline,small car,3,17,24,20,4,No
104,BMW M3,3.0,6.0,Man-6,2WD,Gasoline,small car,3,17,25,20,4,No
105,BMW M4 Convertible,3.0,6.0,AMS-7,2WD,Gasoline,small car,3,16,22,19,3,No
106,BMW M4 Convertible,3.0,6.0,Man-6,2WD,Gasoline,small car,3,17,25,20,4,No
107,BMW M4 Coupe,3.0,6.0,AMS-7,2WD,Gasoline,small car,3,17,24,20,4,No
108,BMW M4 Coupe,3.0,6.0,Man-6,2WD,Gasoline,small car,3,17,25,20,4,No
109,BMW M4 DTM Champions Edition,3.0,6.0,AMS-7,2WD,Gasoline,small car,3,17,24,20,4,No
110,BMW M550i,4.4,8.0,SemiAuto-8,4WD,Gasoline,midsize car,3,16,25,19,3,No
111,BMW M6 Convertible,4.4,8.0,AMS-7,2WD,Gasoline,small car,1,14,20,16,2,No
112,BMW M6 Convertible,4.4,8.0,Man-6,2WD,Gasoline,small car,1,15,22,17,3,No
113,BMW M6 Gran Coupe,4.4,8.0,AMS-7,2WD,Gasoline,small car,1,14,20,16,2,No
114,BMW M6 Gran Coupe,4.4,8.0,Man-6,2WD,Gasoline,small car,1,15,22,17,3,No
115,BMW M760i xDrive,6.6,12.0,SemiAuto-8,4WD,Gasoline,large car,3,13,20,16,2,No
116,BMW X1 sDrive28i,2.0,4.0,SemiAuto-8,2WD,Gasoline,large car,7,23,32,26,5,No
117,BMW X1 xDrive28i,2.0,4.0,SemiAuto-8,4WD,Gasoline,large car,7,22,31,25,5,No
118,BMW X4 M40i,3.0,6.0,SemiAuto-8,4WD,Gasoline,small SUV,3,18,25,21,4,No
119,BMW X4 xDrive28i,2.0,4.0,SemiAuto-8,4WD,Gasoline,small SUV,3,20,28,23,5,No
120,BUICK Encore,1.4,4.0,SemiAuto-6,2WD,Gasoline,small SUV,3,27,33,30,7,Yes
121,BUICK Encore,1.4,4.0,SemiAuto-6,4WD,Gasoline,small SUV,3,26,31,28,6,No
122,BUICK Encore,1.4,4.0,SemiAuto-6,4WD,Gasoline,small SUV,3,24,30,27,6,No
123,BUICK Lacrosse,2.5,4.0,Auto-6,2WD,Gasoline,midsize car,5,25,35,29,6,No
124,BUICK Lacrosse,3.6,6.0,SemiAuto-9,2WD,Gasoline,midsize car,5,21,30,24,5,No
125,BUICK Lacrosse,3.6,6.0,SemiAuto-9,4WD,Gasoline,midsize car,5,20,29,23,5,No
126,CADILLAC ATS,2.0,4.0,Man-6,2WD,Gasoline,small car,5,20,29,23,5,No
127,CADILLAC ATS,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,5,22,31,25,5,No
128,CADILLAC ATS,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,5,22,30,25,5,No
129,CADILLAC ATS,3.6,6.0,SemiAuto-8,2WD,Gasoline,small car,5,20,30,24,5,No
130,CADILLAC ATS,3.6,6.0,SemiAuto-8,4WD,Gasoline,small car,5,19,27,22,4,No
131,CADILLAC ATS-V,3.6,6.0,Man-6,2WD,Gasoline,small car,3,16,23,19,3,No
132,CADILLAC ATS-V,3.6,6.0,SemiAuto-8,2WD,Gasoline,small car,3,17,25,20,4,No
133,CADILLAC CT6,2.0,4.0,SemiAuto-8,2WD,Gasoline,large car,5,22,30,25,5,No
134,CADILLAC CT6,3.0,6.0,SemiAuto-8,4WD,Gasoline,large car,3,18,26,21,4,No
135,CADILLAC CT6,3.6,6.0,SemiAuto-8,4WD,Gasoline,large car,5,18,27,21,4,No
136,CADILLAC CTS,2.0,4.0,SemiAuto-8,2WD,Gasoline,midsize car,5,22,30,25,5,No
137,CADILLAC CTS,2.0,4.0,SemiAuto-8,4WD,Gasoline,midsize car,5,21,29,24,5,No
138,CADILLAC CTS,3.6,6.0,SemiAuto-8,2WD,Gasoline,midsize car,3,16,24,19,3,No
139,CADILLAC CTS,3.6,6.0,SemiAuto-8,2WD,Gasoline,midsize car,5,20,30,24,5,No
140,CADILLAC CTS,3.6,6.0,SemiAuto-8,4WD,Gasoline,midsize car,5,19,27,22,4,No
141,CADILLAC CTS-V,6.2,8.0,SemiAuto-8,2WD,Gasoline,midsize car,1,14,21,17,3,No
142,CADILLAC Escalade,6.2,8.0,Auto-10,2WD,Gasoline,standard SUV,3,14,23,17,3,No
143,CADILLAC Escalade,6.2,8.0,Auto-10,4WD,Gasoline,standard SUV,3,14,21,17,3,No
144,CADILLAC XT5,3.6,6.0,SemiAuto-8,2WD,Gasoline,small SUV,5,19,26,22,4,No
145,CADILLAC XT5,3.6,6.0,SemiAuto-8,4WD,Gasoline,small SUV,5,18,25,21,4,No
146,CHEVROLET Camaro,2.0,4.0,Man-6,2WD,Gasoline,small car,5,20,30,23,5,No
147,CHEVROLET Camaro,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,5,22,31,25,5,No
148,CHEVROLET Camaro,3.6,6.0,Man-6,2WD,Gasoline,small car,5,16,28,20,4,No
149,CHEVROLET Camaro,3.6,6.0,SemiAuto-8,2WD,Gasoline,small car,5,19,29,23,5,No
150,CHEVROLET Camaro,6.2,8.0,Man-6,2WD,Gasoline,small car,1,14,20,16,2,No
151,CHEVROLET Camaro,6.2,8.0,Man-6,2WD,Gasoline,small car,1,16,25,19,3,No
152,CHEVROLET Camaro,6.2,8.0,SemiAuto-10,2WD,Gasoline,small car,1,13,21,15,2,No
153,CHEVROLET Camaro,6.2,8.0,SemiAuto-8,2WD,Gasoline,small car,1,17,27,20,4,No
154,CHEVROLET Colorado,2.5,4.0,Auto-6,2WD,Gasoline,pickup,5,20,26,22,4,No
155,CHEVROLET Colorado,2.5,4.0,Auto-6,4WD,Gasoline,pickup,5,19,24,21,4,No
156,CHEVROLET Colorado,2.5,4.0,Man-6,2WD,Gasoline,pickup,5,20,26,22,4,No
157,CHEVROLET Colorado,2.8,4.0,Auto-6,2WD,Diesel,pickup,3,22,30,25,4,No
158,CHEVROLET Colorado,2.8,4.0,Auto-6,4WD,Diesel,pickup,3,20,28,23,4,No
159,CHEVROLET Colorado,3.6,6.0,Auto-8,2WD,Gasoline,pickup,5,18,25,20,4,No
160,CHEVROLET Colorado,3.6,6.0,Auto-8,2WD,Gasoline,special purpose,5,15,15,15,2,No
161,CHEVROLET Colorado,3.6,6.0,Auto-8,4WD,Gasoline,pickup,5,17,24,19,3,No
162,CHEVROLET Colorado ZR2,2.8,4.0,Auto-6,4WD,Diesel,pickup,3,19,22,20,3,No
163,CHEVROLET Colorado ZR2,3.6,6.0,Auto-8,4WD,Gasoline,pickup,5,16,18,17,3,No
164,CHEVROLET Corvette,6.2,8.0,Man-7,2WD,Gasoline,small car,1,15,22,18,3,No
165,CHEVROLET Corvette,6.2,8.0,Man-7,2WD,Gasoline,small car,1,16,25,19,3,No
166,CHEVROLET Corvette,6.2,8.0,SemiAuto-8,2WD,Gasoline,small car,1,13,23,16,2,No
167,CHEVROLET Corvette,6.2,8.0,SemiAuto-8,2WD,Gasoline,small car,1,15,25,18,3,No
168,CHEVROLET Cruze,1.4,4.0,Man-6,2WD,Gasoline,small car,6,27,40,32,7,Yes
169,CHEVROLET Cruze,1.4,4.0,SemiAuto-6,2WD,Gasoline,small car,6,29,40,33,8,Yes
170,CHEVROLET Cruze,1.6,4.0,Auto-9,2WD,Diesel,small car,3,31,47,37,7,Yes
171,CHEVROLET Cruze,1.6,4.0,Man-6,2WD,Diesel,small car,3,30,52,37,7,Yes
172,CHEVROLET Cruze Hatchback,1.4,4.0,Man-6,2WD,Gasoline,midsize car,6,27,38,31,7,Yes
173,CHEVROLET Cruze Hatchback,1.4,4.0,SemiAuto-6,2WD,Gasoline,midsize car,6,29,38,32,7,Yes
174,CHEVROLET Cruze Hatchback,1.6,4.0,Auto-9,2WD,Diesel,midsize car,3,30,45,35,7,Yes
175,CHEVROLET Cruze Hatchback,1.6,4.0,Man-6,2WD,Diesel,midsize car,3,29,48,35,7,Yes
176,CHEVROLET Cruze Premier,1.4,4.0,SemiAuto-6,2WD,Gasoline,small car,6,29,39,33,8,Yes
177,CHEVROLET Cruze Premier Hatchback,1.4,4.0,SemiAuto-6,2WD,Gasoline,midsize car,6,28,37,31,7,Yes
178,CHEVROLET Equinox,1.5,4.0,Auto-6,2WD,Gasoline,small SUV,5,26,32,28,6,No
179,CHEVROLET Equinox,1.5,4.0,Auto-6,4WD,Gasoline,small SUV,5,24,30,26,5,No
180,CHEVROLET Equinox,1.6,4.0,Auto-6,2WD,Diesel,small SUV,3,28,39,32,6,No
181,CHEVROLET Equinox,1.6,4.0,Auto-6,4WD,Diesel,small SUV,3,28,38,32,6,No
182,CHEVROLET Equinox,2.0,4.0,Auto-9,2WD,Gasoline,small SUV,5,22,29,25,5,No
183,CHEVROLET Equinox,2.0,4.0,Auto-9,4WD,Gasoline,small SUV,5,22,28,24,5,No
184,CHEVROLET Impala,2.5,4.0,SemiAuto-6,2WD,Gasoline,large car,3,22,30,25,5,No
185,CHEVROLET Impala,3.6,6.0,SemiAuto-6,2WD,Gasoline,large car,7,19,28,22,4,No
186,CHEVROLET Malibu,1.5,4.0,Auto-6,2WD,Gasoline,midsize car,6,27,36,30,7,Yes
187,CHEVROLET Malibu,1.5,4.0,Auto-6,2WD,Gasoline,midsize car,7,27,36,30,7,Yes
188,CHEVROLET Malibu,1.8,4.0,CVT,2WD,Gasoline,midsize car,3,49,43,46,10,Yes
189,CHEVROLET Malibu,2.0,4.0,Auto-9,2WD,Gasoline,midsize car,5,22,32,26,5,No
190,CHEVROLET Silverado 15,5.3,8.0,Auto-6,2WD,Gasoline,pickup,3,16,23,19,3,No
191,CHEVROLET Silverado 15,5.3,8.0,Auto-6,2WD,Gasoline,special purpose,3,15,20,17,3,No
192,CHEVROLET Silverado 15,5.3,8.0,Auto-6,4WD,Gasoline,pickup,3,16,22,18,3,No
193,CHEVROLET Silverado 15,5.3,8.0,Auto-6,4WD,Gasoline,special purpose,3,15,19,17,3,No
194,CHEVROLET Silverado 15,5.3,8.0,Auto-8,2WD,Gasoline,pickup,3,18,24,20,4,No
195,CHEVROLET Silverado 15,5.3,8.0,Auto-8,2WD,Gasoline,pickup,3,16,22,18,3,No
196,CHEVROLET Silverado 15,5.3,8.0,Auto-8,4WD,Gasoline,pickup,3,16,21,18,3,No
197,CHEVROLET Silverado 15,5.3,8.0,Auto-8,4WD,Gasoline,pickup,3,15,20,17,3,No
198,CHEVROLET Silverado 15,6.2,8.0,Auto-8,2WD,Gasoline,pickup,3,15,21,17,3,No
199,CHEVROLET Silverado 15,6.2,8.0,Auto-8,4WD,Gasoline,pickup,3,15,20,17,3,No
200,CHEVROLET Sonic,1.4,4.0,Man-6,2WD,Gasoline,small car,3,28,37,32,7,Yes
201,CHEVROLET Sonic,1.4,4.0,SemiAuto-6,2WD,Gasoline,small car,3,27,35,30,7,Yes
202,CHEVROLET Sonic 5,1.4,4.0,Man-6,2WD,Gasoline,station wagon,3,28,37,32,7,Yes
203,CHEVROLET Sonic 5,1.4,4.0,SemiAuto-6,2WD,Gasoline,station wagon,3,27,35,30,7,Yes
204,CHEVROLET Suburban 1500,5.3,8.0,Auto-6,2WD,Gasoline,standard SUV,3,16,23,19,3,No
205,CHEVROLET Suburban 1500,5.3,8.0,Auto-6,4WD,Gasoline,standard SUV,3,15,22,18,3,No
206,CHEVROLET Tahoe 1500,5.3,8.0,Auto-6,2WD,Gasoline,standard SUV,3,16,23,19,3,No
207,CHEVROLET Tahoe 1500,5.3,8.0,Auto-6,4WD,Gasoline,standard SUV,3,16,22,18,3,No
208,CHEVROLET Tahoe 1500,6.2,8.0,Auto-10,2WD,Gasoline,standard SUV,3,14,23,17,3,No
209,CHEVROLET Tahoe 1500,6.2,8.0,Auto-10,4WD,Gasoline,standard SUV,3,14,22,17,3,No
210,CHEVROLET Traverse,3.6,6.0,SemiAuto-9,2WD,Gasoline,standard SUV,5,18,27,21,4,No
211,CHEVROLET Traverse,3.6,6.0,SemiAuto-9,4WD,Gasoline,standard SUV,5,17,25,20,4,No
212,CHEVROLET Trax,1.4,4.0,SemiAuto-6,4WD,Gasoline,small SUV,3,24,30,27,6,No
213,CHRYSLER 300,3.6,6.0,Auto-8,2WD,Gasoline,large car,3,19,30,23,5,No
214,CHRYSLER 300,3.6,6.0,Auto-8,4WD,Gasoline,large car,3,18,27,21,4,No
215,CHRYSLER 300,5.7,8.0,Auto-8,2WD,Gasoline,large car,3,16,25,19,3,No
216,CHRYSLER Pacifica,3.6,6.0,Auto-9,2WD,Gasoline,minivan,3,18,28,22,4,No
217,CHRYSLER Pacifica,3.6,6.0,Auto-9,2WD,Gasoline,minivan,3,19,28,22,4,No
218,DODGE Challenger,3.6,6.0,Auto-8,2WD,Gasoline,midsize car,3,19,30,23,5,No
219,DODGE Challenger,5.7,8.0,Auto-8,2WD,Gasoline,midsize car,3,16,25,19,3,No
220,DODGE Challenger,5.7,8.0,Man-6,2WD,Gasoline,midsize car,1,15,23,18,3,No
221,DODGE Challenger,6.4,8.0,Auto-8,2WD,Gasoline,midsize car,1,15,25,18,3,No
222,DODGE Challenger,6.4,8.0,Man-6,2WD,Gasoline,midsize car,1,14,23,17,3,No
223,DODGE Challenger GT,3.6,6.0,Auto-8,4WD,Gasoline,midsize car,3,18,27,21,4,No
224,DODGE Challenger SRT,6.2,8.0,Auto-8,2WD,Gasoline,midsize car,1,13,22,16,2,No
225,DODGE Challenger SRT,6.2,8.0,Man-6,2WD,Gasoline,midsize car,1,13,21,16,2,No
226,DODGE Challenger SRT,6.4,8.0,Auto-8,2WD,Gasoline,midsize car,1,15,25,18,3,No
227,DODGE Challenger SRT,6.4,8.0,Man-6,2WD,Gasoline,midsize car,1,14,23,17,3,No
228,DODGE Charger,3.6,6.0,Auto-8,2WD,Gasoline,large car,3,19,30,23,5,No
229,DODGE Charger,3.6,6.0,Auto-8,4WD,Gasoline,large car,3,18,27,21,4,No
230,DODGE Charger,5.7,8.0,Auto-8,2WD,Gasoline,large car,3,16,25,19,3,No
231,DODGE Charger,6.4,8.0,Auto-8,2WD,Gasoline,large car,1,15,25,18,3,No
232,DODGE Charger SRT,6.2,8.0,Auto-8,2WD,Gasoline,large car,1,13,22,16,2,No
233,DODGE Charger SRT,6.4,8.0,Auto-8,2WD,Gasoline,large car,1,15,25,18,3,No
234,DODGE Durango,3.6,6.0,Auto-8,2WD,Gasoline,standard SUV,5,19,26,21,4,No
235,DODGE Durango,3.6,6.0,Auto-8,4WD,Gasoline,standard SUV,5,18,25,21,4,No
236,DODGE Durango,5.7,8.0,Auto-8,2WD,Gasoline,standard SUV,3,14,22,17,3,No
237,DODGE Durango,5.7,8.0,Auto-8,4WD,Gasoline,standard SUV,3,14,22,17,3,No
238,DODGE Durango  SRT,6.4,8.0,Auto-8,4WD,Gasoline,standard SUV,1,13,19,15,2,No
239,DODGE Journey,2.4,4.0,Auto-4,2WD,Gasoline,small SUV,3,19,25,21,4,No
240,DODGE Journey,3.6,6.0,Auto-6,4WD,Gasoline,small SUV,3,16,24,19,3,No
241,FERRARI 488 Spider,3.9,8.0,AutoMan-7,2WD,Gasoline,small car,3,15,22,18,3,No
242,FERRARI 488 Spider,3.9,8.0,AutoMan-7,2WD,Gasoline,small car,3,16,22,18,3,No
243,FERRARI 488 gtb,3.9,8.0,AutoMan-7,2WD,Gasoline,small car,3,15,22,18,3,No
244,FERRARI 488 gtb,3.9,8.0,AutoMan-7,2WD,Gasoline,small car,3,16,22,18,3,No
245,FERRARI 812 Superfast,6.5,12.0,AutoMan-7,2WD,Gasoline,small car,3,12,16,13,1,No
246,FERRARI California T,3.9,8.0,AutoMan-7,2WD,Gasoline,small car,3,16,23,18,3,No
247,FERRARI California T,3.9,8.0,AutoMan-7,2WD,Gasoline,small car,3,16,23,19,3,No
248,FERRARI GTC4Lusso,6.3,12.0,AutoMan-7,4WD,Gasoline,small car,3,12,17,13,1,No
249,FERRARI GTC4Lusso T,3.9,8.0,AutoMan-7,2WD,Gasoline,small car,3,15,21,17,3,No
250,FIAT 500L,1.4,4.0,Auto-6,2WD,Gasoline,station wagon,3,22,30,25,5,No
251,FORD F150,2.7,6.0,SemiAuto-10,2WD,Gasoline,pickup,5,19,25,21,4,No
252,FORD F150,2.7,6.0,SemiAuto-10,2WD,Gasoline,pickup,5,20,25,22,4,No
253,FORD F150,2.7,6.0,SemiAuto-10,2WD,Gasoline,pickup,5,20,26,22,4,No
254,FORD F150,2.7,6.0,SemiAuto-10,4WD,Gasoline,pickup,5,18,23,20,4,No
255,FORD F150,2.7,6.0,SemiAuto-10,4WD,Gasoline,pickup,5,18,24,21,4,No
